drug_id,smiles
D00004,O=C=O
D00002,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
D00005,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
D00003,O=O
D00001,O
D00006,Cc1ncc(COP(=O)(O)O)c(C=O)c1O.O
D00007,N[C@@H](CCC(=O)O)C(=O)O
D00009,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
D00008,OO
D00010,CC(=O)O
D00011,NCC(=O)O
D00013,N[C@@H](CC(=O)O)C(=O)O
D00012,C[C@H](N)C(=O)O
D00014,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
D00015,NC(=O)CC[C@H](N)C(=O)O
D00016,N[C@@H](CO)C(=O)O
D00019,CSCC[C@H](N)C(=O)O
D00017,C=O
D00018,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
D00020,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
D00021,N[C@@H](Cc1ccccc1)C(=O)O
D00023,NC(N)=O
D00022,N[C@@H](Cc1ccc(O)cc1)C(=O)O
D00024,[S]
D00025,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
D00026,N[C@@H](CS)C(=O)O
D00028,OCC(O)CO
D00029,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
D00027,O=c1cc[nH]c(=O)[nH]1
D00030,CC(C)C[C@H](N)C(=O)O
D00031,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
D00032,N[C@@H](Cc1c[nH]cn1)C(=O)O
D00033,Oc1ccccc1
D00034,Nc1ncnc2[nH]cnc12
D00035,O=C(O)[C@@H]1CCCN1
D00036,NC(=O)c1cccnc1
D00037,O=C(O)CC(O)(CC(=O)O)C(=O)O
D00038,O=C(O)c1ccccc1
D00039,CC(C)[C@H](N)C(=O)O
D00040,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
D00041,C[C@@H](O)[C@H](N)C(=O)O
D00043,CC(C)OP(=O)(F)OC(C)C
D00044,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
D00045,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
D00042,C/C1=C2/[N-](->[Co+][CH-][C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
D00046,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
D00047,NCCS(=O)(=O)O
D00048,NC(=O)CCCCC1CCSS1
D00049,O=C(O)c1cccnc1
D00050,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
D00057,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
D00058,NCCCC(=O)O
D00059,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
D00060,*OC[C@H]1O[C@H](OC[C@H]2OC(*)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
D00061,OCC(O)C(O)C(O)CO
D00062,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
